stop_id,lat,long,count
10153,41.689251,-72.773863,63
10154,41.688698,-72.775243,63
10155,41.687357,-72.774990,63
10156,41.686383,-72.774797,63
10157,41.684685,-72.774484,63
10158,41.682897,-72.774304,63
10159,41.682746,-72.775768,63
1016,41.741086,-72.597071,2
10160,41.681209,-72.776096,63
10161,41.679645,-72.775831,63
10162,41.678090,-72.775566,63
10163,41.676419,-72.775277,63
10164,41.674712,-72.775205,63
10165,41.673971,-72.776162,63
10166,41.673801,-72.777940,63
10167,41.673472,-72.780699,63
10168,41.672355,-72.781329,63
10169,41.671309,-72.781269,63
1017,41.740634,-72.599531,2
10170,41.248968,-72.977187,23
10182,41.259157,-72.945576,22
10184,41.664746,-72.796819,47
10186,41.664487,-72.798452,47
10187,41.663808,-72.800581,47
10189,41.662013,-72.802651,47
1019,41.740096,-72.603578,2
10191,41.661701,-72.806510,47
10192,41.663050,-72.808166,47
10193,41.663774,-72.810973,47
10194,41.664561,-72.813428,47
10195,41.668850,-72.846806,47
10196,41.669913,-72.850181,47
10197,41.671378,-72.854670,47
10198,41.672646,-72.858639,47
102,41.761980,-72.741511,217
1020,41.741592,-72.605160,2
10200,41.672349,-72.864217,47
10201,41.671750,-72.865850,47
10202,41.673583,-72.860987,47
10203,41.670846,-72.869358,47
10204,41.670283,-72.872128,47
10205,41.670094,-72.875080,47
10206,41.669940,-72.879447,47
10207,41.672720,-72.897331,47
10208,41.666591,-72.922742,47
10209,41.671257,-72.943219,54
1021,41.743790,-72.604935,2
10210,41.083811,-73.463324,106
10211,41.083549,-73.463886,110
10212,41.672770,-72.885631,47
10213,41.672884,-72.891209,47
10214,41.672721,-72.894875,47
10215,41.673327,-72.898638,47
10216,41.671974,-72.903996,47
10217,41.672166,-72.912115,47
10218,41.671593,-72.913215,47
10219,41.668572,-72.914167,47
1022,41.745452,-72.605159,2
10220,41.667030,-72.920783,47
10221,41.668088,-72.916840,47
10222,41.668186,-72.928757,47
10223,41.668479,-72.931249,47
10224,41.668781,-72.933814,47
10225,41.668707,-72.936694,47
10227,41.668043,-72.939608,47
10228,41.668442,-72.943117,47
10230,41.269631,-72.975679,109
10231,41.324165,-72.909158,71
10234,41.680277,-72.903400,31
10235,41.686586,-72.903456,31
10236,41.693089,-72.907601,31
10238,41.693415,-72.914984,31
10239,41.692358,-72.917996,31
1024,41.756763,-72.578729,9
10240,41.691454,-72.920585,31
10243,41.688811,-72.930093,61
10244,41.686356,-72.937181,61
10245,41.683762,-72.940492,61
10246,41.682223,-72.942523,61
10247,41.680735,-72.947300,61
10249,41.676142,-72.946868,61
1025,41.756552,-72.580304,9
10252,41.671555,-72.949401,57
10253,41.668098,-72.948319,57
10254,41.667411,-72.947495,57
10256,41.668379,-72.943347,47
10258,41.667909,-72.939439,47
10259,41.668214,-72.938132,47
10260,41.668629,-72.933947,47
10261,41.668327,-72.931285,47
10262,41.668052,-72.928998,47
10263,41.289333,-72.924135,58
1027,41.755926,-72.584849,9
1028,41.755662,-72.586836,9
10282,41.673970,-72.937089,7
10283,41.673637,-72.940065,7
10284,41.673492,-72.942424,7
10287,41.666430,-72.922790,47
10288,41.666968,-72.920383,47
10289,41.667461,-72.918618,47
1029,41.754347,-72.591371,9
10290,41.668429,-72.914022,47
10291,41.285006,-72.958048,47
10294,41.668878,-72.910574,47
10295,41.668249,-72.902988,47
10296,41.668545,-72.900145,47
10297,41.668770,-72.897908,47
10298,41.668736,-72.894556,47
10299,41.668881,-72.890903,47
103,41.762284,-72.741148,200
1030,41.753608,-72.592900,9
10300,41.669141,-72.888169,47
10301,41.669393,-72.884346,47
10302,41.669717,-72.878963,47
10303,41.669924,-72.875261,47
10304,41.670131,-72.871970,47
10305,41.670766,-72.869031,47
10307,41.319553,-73.090423,29
10308,41.706164,-72.787771,124
1031,41.752967,-72.594210,9
10319,41.702862,-72.775136,61
1032,41.752095,-72.596066,9
10320,41.703961,-72.775498,61
10321,41.705552,-72.775775,61
10322,41.708162,-72.775761,61
10323,41.708217,-72.778654,61
10324,41.707896,-72.781862,61
10325,41.707335,-72.787346,61
10326,41.706450,-72.785531,63
10327,41.706868,-72.781488,63
10328,41.707180,-72.778486,63
10329,41.707304,-72.775835,63
1033,41.751455,-72.597946,9
